project,source,content,score,comments,"technical update, 
accidents, 
team and partnership update, 
changes in tokenomics, 
whale movement, 
regulation related to crypto industry
Roadmap Updates
Adoption Metrics
External Audits
Competitor Movements
Token Listings
Legal & Lawsuits"
solana,twitter,"The future of blockchain and tech is carbon neutral.Meet @GainForestNow, who uses Solana to drive transparency in their climate preservation efforts.#OnlyPossibleOnSolanaDive in and learn how GainForest is making a better future on Solana",0,just marketing stuff,
solana,twitter,"Unite with a global community and build your app everyone said was impossible: Experience the speed, scalability, and security that's only possible on Solana. Shape the future of the decentralized internet, today",0,,
solana,twitter,"Oracles bring real-world market data onchain, but how?

This week on @ValidatedPod, @jayantkrish explains how @PythNetwork , the first network to deploy the Solana codebase for an application specific blockchain, is redefining how oracles work.
 
📹 Watch: https://youtu.be/0m7NLUe-FGM?si=517DTCP5S2FprSmJ",1,Adoption metrics,
solana,twitter,"Unite with a global community and build your app everyone said was impossible: Experience the speed, scalability, and security that's only possible on Solana.
Shape the future of the decentralized internet, today",0,,
solana,twitter,"Oracles bring real-world market data onchain, but how?

This week on @ValidatedPod, @jayantkrish explains how @PythNetwork, the first network to deploy the Solana codebase for an application specific blockchain, is redefining how oracles work.
 
📹 Watch: https://youtu.be/0m7NLUe-FGM?si=517DTCP5S2FprSmJ
",1,,
solana,twitter,"Today, Solana Labs co-founder  @aeyakovenko  called for U.S. policymakers to clarify regulations around blockchain technology in order to maintain technological innovation in the U.S. and better support web3 entrepreneurs.

Read more in @FortuneMagazine
 https://fortune.com/2023/09/18/solana-next-great-american-founder-america-congress-regulate-crypto-lawmakers-anatoly-yakovenko/",1,Legal & Lawsuits,
solana,twitter,"How did @ASICSamerica drive sales in 62 countries? With a loyalty program #OnlyPossibleOnSolana! 👟 

Learn more about why globally recognized brands are choosing Solana for its high throughput, ease of use, and low carbon impact https://solana.com/news/case-study-asics-solana-pay",0,marketing,
solana,twitter,"Recently, @Visa Crypto released their technical deep dive covering why Solana was chosen to expand their USDC settlement pilot.

“Solana's blockchain network has attributes like high transaction throughput and scalability at low cost that help make it a good candidate for payments and Visa’s stablecoin settlement pilot.”

Read more: https://usa.visa.com/solutions/crypto/deep-dive-on-solana.html
",1,adoption metrics,
solana,twitter,"Blockchains should be accessible to anyone, anywhere, anytime. 

With Solana, @drip_haus has delivered over 25 million NFTs for less than $3,000 while pioneering new possibilities for creators.

Learn more about minting millions for less on Solana👇 https://solana.com/possible?utm_campaign=OPOS%3A+Phase+0&utm_content=1694614081&utm_medium=Solana&utm_source=twitter",1,adoption metrics,
solana,twitter,"Developers from around the world are building apps on Solana for a fast, secure, scalable, and user-friendly future.

Over 2000 builders and counting have already joined the Hyperdrive Hackathon 💫

#OnlyPossibleOnSolana

Build the future, today https://solana.com/possible?utm_campaign=OPOS%3A+Phase+0&utm_content=1694520840&utm_medium=Solana&utm_source=twitter",1,adoption metrics,
solana,twitter,"Over 1,000 developers from around the world are now building in the Hyperdrive Hackathon! 💫
Join and compete for prizes, honor, and entry into Solana Valhalla.
Project submissions are due on October 15 https://solana.com/hyperdrive",1,adoption metrics,
solana,twitter,"Possible isn’t possible everywhere. 
Solana is one of the world’s most used and decentralized blockchains with over 200,000,000,000 transactions because of you.
#OnlyPossibleOnSolana
Join leading developers and businesses building the future on Solana https://solana.com/possible",1,adoption metrics,
solana,twitter,"Decentralized physical infrastructure networks are finding a home on Solana.
Introducing @Hivemapper, whose community has mapped nearly 5 million kilometers of unique roads with rewards powered by compression on Solana.

#OnlyPossibleOnSolana
Learn more👇
https://solana.com/news/case-study-hivemapper?utm_campaign=OPOS%3A+Phase+0&utm_source=twitter&utm_medium=Solana&utm_content=1694126856",1,adoption metrics,
solana,twitter,"1/ Announcing the Hyperdrive Hackathon! 💫
🌍 An online, global Solana hackathon
🏁 Running Sept. 6 - Oct. 15
🏆 $1 million in prizes and seed funding up for grabs
Join and start building today: http://solana.com/hyperdrive
",0,marketing announcement,
solana,twitter,"1/6 Announcing the Hyperdrive Hackathon! 💫 (thread)
🌍 An online, global Solana hackathon
🏁 Running Sept. 6 - Oct. 15
🏆 $1 million in prizes and seed funding up for grabs
Join and start building today: http://solana.com/hyperdrive
",0,marketing announcement,
solana,twitter,"Why are multisigs becoming the default web3 security paradigm? 

On this week's episode of @ValidatedPod, @SimkinStepan from @SquadsProtocol dives into using multiple signature wallets to improve security, building a multisig on Solana, & more. 

📹 Watch: https://youtu.be/26egvX1hcxc
",0,marketing announcement,
solana,twitter,"1/4🏦Breaking: Visa Expands Stablecoin Settlement Pilot to Solana (thread)

@Visa is scaling their USDC settlement pilot to include the Solana blockchain, enabling enterprise-grade throughput at virtually no cost for Visa issuers and merchant acquirers on Solana. https://businesswire.com/news/home/20230905549860/en/Visa-Expands-Stablecoin-Settlement-Capabilities-to-Merchant-Acquirers
",1,important partnership,
solana,twitter,"Solana, at its core, is about people. 
About a resilient global community changing what's possible together. About you, pushing limits.
To start your week, shoutout a person or project from the Solana community who has made a difference 
Be part of the movement and connect with the people pushing the internet forward: https://solana.com/possible
P.S. We heard you might be able to download #OnlyPossibleOnSolana poster and sticker templates now👀 https://solana.com/possible",0,marketing,
solana,twitter,"Co-founder @RuneKek of @MakerDAO , a DeFi protocol, proposes leveraging the Solana codebase for NewChain following extensive research.

He cites Solana’s technical quality, strong developer ecosystem, and resilience as primary reasons and suggests potential mutual benefits to the Solana ecosystem.

More👇 https://twitter.com/RuneKek/status/1697623700013822244",1,partnership,
solana,twitter,"Get Ready to Build 🌟 
The next online Solana Hackathon
SEPTEMBER 6 2023
http://solana.com/hyperdrive
",0,marketing announcement,
solana,Discord,https://github.com/solana-labs/solana/releases/tag/v1.16.13,0,no news,
solana,Discord,@Testnet Validator The v1.16.13 release is now recommended for use on Testnet. Please upgrade when there's less than 5% delinquent stake.,1,technical update,
solana,Discord,"@Testnet Validator
The v1.16.12 release is now recommended for use on Testnet. Please upgrade when there's less than 5% delinquent stake.
https://github.com/solana-labs/solana/releases/tag/v1.16.12",1,technical update,
solana,Discord,"@Testnet Validator
The v1.16.10 release is now recommended for use on Testnet. Please upgrade when there's less than 5% delinquent stake.
https://github.com/solana-labs/solana/releases/tag/v1.16.10",1,technical update,
solana,Discord,"@Testnet Validator
The v1.16 feature gates that we disabled during the 2023-08-06 restart will be re-enabled at the start of epoch 516 (approximately 2023-08-24 10:00 UTC, 17 hours from now). Nodes running v1.14 will fork off at the epoch boundary. Please upgrade to v1.16.9 before then.
https://github.com/solana-labs/solana/releases/tag/v1.16.9",1,technical update,
solana,Discord,"@Devnet ValidatorDevnet is now running v1.16.8
https://github.com/solana-labs/solana/releases/tag/v1.16.8",1,technical update,
solana,Discord,"@Devnet Validator Devnet is now running v1.16.6
https://github.com/solana-labs/solana/releases/tag/v1.16.6",1,technical update,
solana,Discord,"@Devnet Validator
The devnet version floor is scheduled [1] to raise to v1.16.0 at the start of epoch 541 (early next week). Nodes running unsupported versions will fork off after the epoch boundary. If you have any objections to this plan please engage on the activation thread [2] in #devnet-feature-gates.

Devnet is currently running v1.16.5 [3]. Please upgrade your devnet nodes before epoch 541.

[1] https://github.com/solana-labs/solana/wiki/Feature-Gate-Activation-Schedule#version-floor
[2] ⁠devnet-feature-gates⁠
[3] https://github.com/solana-labs/solana/releases/tag/v1.16.5",1,technical update,
solana,Discord,"@Devnet Validator
We are planning to begin v1.16 feature gate activations on devnet starting with epoch 541 (approximately 2023-08-01). Nodes running unsupported versions will fork off after feature gates are activated.

For more information about feature gate activations see the schedule [1] and #devnet-feature-gates on Discord [2]

The recommended version for devnet is currently v1.16.5 [3]

[1] https://github.com/solana-labs/solana/wiki/Feature-Gate-Activation-Schedule#pending-devnet-activation
[2] https://solana.com/discord
[3] https://github.com/solana-labs/solana/releases/tag/v1.16.5",1,technical update,
solana,Discord,"@Devnet Validator Devnet is now running v1.16.5
https://github.com/solana-labs/solana/releases/tag/v1.16.5",1,technical update,
solana,Discord,"Some minor bugs in v1.16 have delayed the devnet upgrade, so we're postponing the feature gate activations. The new v1.16 release will be available by Monday. We expect to start activating v1.16 feature gates on devnet the week of July 31st. Please plan to upgrade any devnet nodes to v1.16 next week, or let me know if you can't.",1,technical update,
solana,Discord,"👆 we would like to resume feature gate activations on devnet. Please upgrade to v1.16 as soon as you are able to.
@Devnet Validator Devnet is now running v1.16.4

https://github.com/solana-labs/solana/releases/tag/v1.16.4 GitHub",1,technical update,
solana,Discord,"@Mainnet Beta Validator we need your help! Please, if you hit the GPF on v1.16 share it on ⁠mb-validators and make sure to fill out the survey to help us find the root cause.",0,daily routine,
